Component,File,Line,Element,Label,Destination,RouteStatus,Priority,RouteHealth
global-error,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/app/global-error.tsx,25,button,[Empty],Handler: {() => reset()},Action,Medium,Action
not-found,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/app/not-found.tsx,21,Link,[Empty],/,Valid,Low,OK
ArchitectureCanvas,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/architecture/ArchitectureCanvas.tsx,179,button,[Icon/Image],Handler: {onDownloadPng},Action,Medium,Action
ArchitectureCanvas,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/architecture/ArchitectureCanvas.tsx,182,button,[Icon/Image],Handler: {onDownloadSvg},Action,Medium,Action
ArchitectureCanvas,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/architecture/ArchitectureCanvas.tsx,180,ImageIcon,[ImageIcon],,Missing,High,Unknown
LivingArchitecture,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/architecture/LivingArchitecture.tsx,113,button,[Icon/Image],Handler: {() => setMode('topology')},Action,Medium,Action
LivingArchitecture,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/architecture/LivingArchitecture.tsx,119,button,[Icon/Image],Handler: {() => setMode('live')},Action,Medium,Action
LivingArchitecture,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/architecture/LivingArchitecture.tsx,125,button,[Icon/Image],Handler: {() => setMode('brain')},Action,Medium,Action
FrameworkExplorer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/FrameworkExplorer.tsx,39,button,[Empty],Handler: {() => setActiveSlug(fw.slug)},Action,Medium,Action
FrameworkExplorer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/FrameworkExplorer.tsx,79,Link,[Icon/Image],[Dynamic: `/products/${activeFramework.slug}`],Valid,Low,Unknown
FrameworkExplorer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/FrameworkExplorer.tsx,160,Link,[Icon/Image],[Dynamic: `/products/${activeFramework.slug}`],Valid,Low,Unknown
InteractiveSolutionExplorer,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/InteractiveSolutionExplorer.tsx,128,SolutionMarketplaceCard,[SolutionMarketplaceCard],Handler: {() => setOverlaySlug(sol.slug)},Action,Medium,Action
ProductComparisonCard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/ProductComparisonCard.tsx,53,button,{dynamic},Handler: {() => setActiveCompetitorIdx(idx)},Action,Medium,Action
ProductPageLayout,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/ProductPageLayout.tsx,47,button,{dynamic},,Missing,High,Unknown
ProductPageLayout,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/ProductPageLayout.tsx,85,ProductComparisonCard,[ProductComparisonCard],,Missing,High,Unknown
SoftwarePlatformsBento,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/SoftwarePlatformsBento.tsx,43,Link,{dynamic} {dynamic} {dynamic},[Dynamic: `/products/${platform.slug}`],Valid,Low,Unknown
SoftwarePlatformsBento,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/SoftwarePlatformsBento.tsx,56,Icon,[Icon],,Missing,High,Unknown
SolutionMarketplaceCard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/SolutionMarketplaceCard.tsx,56,motion.button,{dynamic},Handler: {onClick},Action,Medium,Action
SolutionOverlay,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/SolutionOverlay.tsx,58,button,[Icon/Image],Handler: {onPrev},Action,Medium,Action
SolutionOverlay,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/SolutionOverlay.tsx,65,button,[Icon/Image],Handler: {onNext},Action,Medium,Action
SolutionOverlay,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/SolutionOverlay.tsx,74,button,[Icon/Image],Handler: {onClose},Action,Medium,Action
SolutionOverlay,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/SolutionOverlay.tsx,112,Link,[Icon/Image],[Dynamic: `/solutions/${solution.slug}`],Valid,Low,Unknown
SolutionOverlay,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/SolutionOverlay.tsx,113,button,[Icon/Image],,Missing,High,Unknown
SolutionOverlay,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/SolutionOverlay.tsx,117,Link,[Empty],/contact,Valid,Low,OK
SolutionOverlay,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/SolutionOverlay.tsx,118,button,[Empty],,Missing,High,Unknown
SolutionOverlay,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/SolutionOverlay.tsx,39,motion.div,[motion.div],Handler: {onClose},Action,Medium,Action
SolutionPageLayout,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/SolutionPageLayout.tsx,44,button,{dynamic},,Missing,High,Unknown
SolutionPageLayout,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/SolutionPageLayout.tsx,47,button,{dynamic},,Missing,High,Unknown
SolutionPageLayout,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/SolutionPageLayout.tsx,138,Link,[Icon/Image],[Dynamic: res.link],Valid,Low,Unknown
AuthGate,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/AuthGate.tsx,233,button,[Icon/Image],,Missing,High,Unknown
AuthGate,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/AuthGate.tsx,241,button,[Empty],Handler: {() => setStep("login")},Action,Medium,Action
AuthGate,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/AuthGate.tsx,407,button,{dynamic},,Missing,High,Unknown
AuthGate,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/AuthGate.tsx,512,button,[Icon/Image],,Missing,High,Unknown
AuthGate,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/AuthGate.tsx,257,CreditCard,[CreditCard],,Missing,High,Unknown
AuthGate,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/AuthGate.tsx,317,CreditCard,[CreditCard],,Missing,High,Unknown
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,574,button,[Empty],Handler: {() => setActiveSandbox(s.id)},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,607,button,[Empty],Handler: {() => setActiveSandbox(s.id)},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,640,button,[Empty],Handler: {() => setActiveSandbox(s.id)},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,661,button,[Icon/Image],Handler: {() => {               setActiveSandbox(null);               setMatchAudited(false);               setMatchResult(null);               setQuizStep(0);               setQuizAnswers({});               setReadinessStep(0);               setReadinessAnswers({});               setSupportOutput(null);               setRagAnswer("");               setRagSteps([]);               setHrCandidates([]);             }},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,692,button,[Empty],Handler: {() => addFlowNode("Trigger"  "Webhook API Received"  "var(--hive-orange)")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,693,button,[Empty],Handler: {() => addFlowNode("AI Node"  "Sentiment Router"  "var(--neural-blue)")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,694,button,[Empty],Handler: {() => addFlowNode("Action"  "Slack Alerts Node"  "var(--violet)")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,695,button,[Empty],Handler: {clearFlowCanvas},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,701,button,{dynamic},Handler: {runFlowSimulation},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,757,button,{dynamic},Handler: {runAgentSimulation},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,822,button,[Empty],Handler: {() => setQuizStep(1)},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,836,button,[Empty],Handler: {() => {                             setQuizAnswers(prev => ({ ...prev  [question.id]: opt.key }));                             if (quizStep < 3) {                               setQuizStep(quizStep + 1);                             } else {                               submitQuizAnswers();                             }                           }},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,883,button,[Empty],Handler: {handleDownloadCert},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,886,button,[Empty],Handler: {() => setQuizStep(0)},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,898,button,[Empty],Handler: {() => { setQuizStep(0); setQuizAnswers({}); }},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,948,button,[Empty],Handler: {() => auditAction(row.id  "approve")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,949,button,[Empty],Handler: {() => auditAction(row.id  "flag")},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,983,button,[Empty],Handler: {() => setReadinessStep(1)},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,996,button,[Empty],Handler: {() => {                             setReadinessAnswers(prev => ({ ...prev  [question.id]: opt.score }));                             if (readinessStep < 4) {                               setReadinessStep(readinessStep + 1);                             } else {                               setReadinessStep(5);                             }                           }},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1032,button,[Empty],Handler: {downloadReadinessReport},Action,Medium,Action
FreeTierDashboard,D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1035,button,[Empty],Handler: {() => { setReadinessStep(0); setReadinessAnswers({}); }},Action,Medium,Action
