Route,Owner,Status
/login,Growth Team,Active
/register,Growth Team,Active
/engineering,Growth Team,Active
/metrics,Growth Team,Active
/app/ai,Growth Team,Active
/app,Growth Team,Active
/app/talent/assessments/[id],Growth Team,Active
/app/talent/builder,Growth Team,Active
/app/talent/candidates,Growth Team,Active
/app/talent/candidates/[id],Growth Team,Active
/app/talent,Growth Team,Active
/archive/documents,Growth Team,Active
/archive/documents/[id],Growth Team,Active
/archive,Growth Team,Active
/archive/prompts,Growth Team,Active
/archive/search,Growth Team,Active
/studio/admin,Growth Team,Active
/studio/agents,Growth Team,Active
/studio/capabilities,Growth Team,Active
/studio/dashboard,Core App Team,Active
/studio/evaluation,Growth Team,Active
/studio/events,Growth Team,Active
/studio/governance,Growth Team,Active
/studio/knowledge,Growth Team,Active
/studio/models,Growth Team,Active
/studio,Growth Team,Active
/studio/prompts,Growth Team,Active
/studio/runtime,Growth Team,Active
/studio/settings,Growth Team,Active
/studio/simulation,Growth Team,Active
/studio/traces,Growth Team,Active
/studio/workflows,Growth Team,Active
/about,Growth Team,Active
/academy/corporate-programs,Growth Team,Active
/academy/courses,Growth Team,Active
/academy/learning-paths,Growth Team,Active
/academy,Growth Team,Active
/academy/referral,Growth Team,Active
/careers,Growth Team,Active
/case-studies/corporate-ai-training,Growth Team,Active
/case-studies/logistics-support-automation,Growth Team,Active
/case-studies,Growth Team,Active
/case-studies/sales-pipeline-automation,Growth Team,Active
/client-portal,Growth Team,Active
/community,Growth Team,Active
/company,Growth Team,Active
/contact,Growth Team,Active
/developers/architecture,Growth Team,Active
/developers/changelog,Growth Team,Active
/developers,Growth Team,Active
/developers/releases,Growth Team,Active
/developers/roadmap,Growth Team,Active
/docs/icons/[id],Growth Team,Active
/enterprise/dashboard,Core App Team,Active
/handbook,Growth Team,Active
/industries,Enterprise Solutions,Active
/industries/[slug],Enterprise Solutions,Active
/insights,Growth Team,Active
/learn,Growth Team,Active
/legal/ai-ethics,Legal & Compliance,Active
/legal/privacy,Legal & Compliance,Active
/legal/security,Legal & Compliance,Active
/legal/terms,Legal & Compliance,Active
/,Marketing Team,Active
/platform/design-system/icons,Growth Team,Active
/platform/hiveforge,Growth Team,Active
/platform/live-runtime,Growth Team,Active
/platform/os/actions,Growth Team,Active
/platform/os/agent-executor,Growth Team,Active
/platform/os/aiops,Growth Team,Active
/platform/os/compiler,Growth Team,Active
/platform/os/data-platform,Growth Team,Active
/platform/os/devops,Growth Team,Active
/platform/os/digital-twin,Growth Team,Active
/platform/os/governance,Growth Team,Active
/platform/os/mlops,Growth Team,Active
/platform/os,Growth Team,Active
/platform/os/research,Growth Team,Active
/platform/os/router,Growth Team,Active
/platform/os/sdk,Growth Team,Active
/platform/os/secops,Growth Team,Active
/platform/os/swarm,Growth Team,Active
/platform/os/web3,Growth Team,Active
/platform/os/world-model,Growth Team,Active
/platform/os/zero-trust,Growth Team,Active
/platform,Growth Team,Active
/platform/[slug],Growth Team,Active
/products/agentos/live-runtime,Product Team,Active
/products/agentos,Product Team,Active
/products/cerebro-x,Product Team,Active
/products/hivepulse,Product Team,Active
/products,Product Team,Active
/products/[slug],Product Team,Active
/research,Growth Team,Active
/research/[slug],Growth Team,Active
/research/[slug]/[articleSlug],Growth Team,Active
/resources/ai-tools-directory,Growth Team,Active
/resources/blog,Growth Team,Active
/resources/guides/[slug],Growth Team,Active
/resources,Growth Team,Active
/resources/templates,Growth Team,Active
/resources/whitepapers,Growth Team,Active
/services,Growth Team,Active
/services/[slug],Growth Team,Active
/sitemap,Growth Team,Active
/status,Growth Team,Active
/talent/candidate/ide,Growth Team,Active
/talent/recruiter/assessments,Growth Team,Active
/talent/recruiter/copilot,Growth Team,Active
/tools/ai-readiness,Growth Team,Active
/tools/solution-finder,Growth Team,Active
