File,Line,Element,Violation,Severity
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/architecture/ArchitectureCanvas.tsx,171,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/architecture/ArchitectureCanvas.tsx,174,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/AuthGate.tsx,233,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/AuthGate.tsx,241,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/AuthGate.tsx,407,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/AuthGate.tsx,512,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,574,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,607,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,640,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,661,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,692,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,693,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,694,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,695,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,701,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,757,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,822,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,836,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,883,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,886,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,898,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,948,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,949,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,983,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,996,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1032,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1035,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1116,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1130,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1184,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1185,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/dashboard/FreeTierDashboard.tsx,1186,button,"Interaction element is not using a Tracked wrapper",Medium
