File,Line,Element,Violation,Severity
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/architecture/ArchitectureCanvas.tsx,171,button,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/architecture/ArchitectureCanvas.tsx,174,button,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/CerebroChat.tsx,375,button,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/CerebroChat.tsx,376,button,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/CerebroChat.tsx,377,button,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/layout/Navbar.tsx,95,motion.div,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/research/ResearchArchitectureCanvas.tsx,91,button,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/research/ResearchArchitectureCanvas.tsx,94,button,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/research/ResearchArchitectureCanvas.tsx,97,button,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/research/ResearchReader.tsx,165,button,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/resources/GatedDownloadModal.tsx,55,button,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/solutions/InteractiveSolutionExplorer.tsx,128,SolutionMarketplaceCard,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/solutions/SolutionOverlay.tsx,58,button,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/solutions/SolutionOverlay.tsx,65,button,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/solutions/SolutionOverlay.tsx,74,button,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/solutions/SolutionOverlay.tsx,39,motion.div,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/insights/v2/InsightsAssistant.tsx,105,button,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/company/contact/CareersPreview.tsx,217,button,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/company/contact/CareersPreview.tsx,193,motion.div,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/company/v3/CompanyHero.tsx,55,motion.button,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/company/v3/LivingTimeline.tsx,79,button,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/research/v2/ResearchAssistant.tsx,105,button,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/research/v2/ResearchTeam.tsx,94,button,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/research/v2/ResearchTeam.tsx,97,button,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/app/resources/whitepapers/page.tsx,71,button,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/company/leadership/org-chart/OrgNavRail.tsx,59,button,"Interactive element has no accessible name (no text, no aria-label)",High
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/company/leadership/org-chart/OrgNavRail.tsx,62,button,"Interactive element has no accessible name (no text, no aria-label)",High
