File,Line,Element,Violation,Severity
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/app/global-error.tsx,25,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/app/not-found.tsx,21,Link,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/architecture/ArchitectureCanvas.tsx,179,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/architecture/ArchitectureCanvas.tsx,182,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/architecture/LivingArchitecture.tsx,113,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/architecture/LivingArchitecture.tsx,119,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/architecture/LivingArchitecture.tsx,125,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/FrameworkExplorer.tsx,39,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/FrameworkExplorer.tsx,79,Link,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/FrameworkExplorer.tsx,160,Link,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/InteractiveSolutionExplorer.tsx,128,SolutionMarketplaceCard,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/ProductComparisonCard.tsx,53,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/ProductPageLayout.tsx,47,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/SoftwarePlatformsBento.tsx,43,Link,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/SolutionMarketplaceCard.tsx,56,motion.button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/SolutionOverlay.tsx,58,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/SolutionOverlay.tsx,65,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/SolutionOverlay.tsx,74,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/SolutionOverlay.tsx,112,Link,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/SolutionOverlay.tsx,113,button,"Interaction element is not using a Tracked wrapper",Medium
D:/{MY_PROJECTS}/{OPC_cerebro_hive}/OPC/cerebro-hive-website/components/archive/SolutionOverlay.tsx,117,Link,"Interaction element is not using a Tracked wrapper",Medium
